,Average Score,Standard Deviation
929,1689.462,885.14246
930,1676.7744,881.74896
931,1675.3656,877.0299
932,1693.0795,887.55597
933,1687.238,875.0974
934,1686.9088,876.9549
935,1664.5947,866.02277
936,1674.5299,872.9612
937,1672.117,866.3022
938,1681.7953,875.1355
939,1682.7588,878.6929
940,1676.5712,872.946
941,1677.8569,873.5458
942,1666.0789,865.96783
943,1685.7997,875.40845
944,1687.2031,885.24744
945,1674.9958,873.97925
946,1671.9756,874.1662
947,1674.2144,873.3707
948,1665.2638,863.8909
949,1689.4723,873.2613
950,1701.0883,880.1621
951,1666.6166,868.6883
952,1688.9496,877.063
953,1683.2616,879.77515
954,1685.2722,882.21356
955,1685.2317,879.408
956,1675.8704,881.66327
957,1678.3282,875.36835
958,1682.3584,875.60284
959,1684.7782,870.2769
960,1685.996,881.4865
961,1684.2668,871.24567
962,1675.3369,874.9392
963,1677.273,878.28973
964,1680.8369,874.2545
965,1693.3059,873.52094
966,1684.0103,868.5158
967,1677.8287,867.3723
968,1684.6155,874.4437
969,1682.1012,873.7885
970,1670.5249,871.9926
971,1679.1112,879.236
972,1679.4106,881.1856
973,1681.2916,870.1317
974,1670.1755,878.672
975,1679.189,870.2567
976,1676.3558,873.05396
977,1678.215,879.00214
978,1689.6265,875.6499
979,1660.5638,870.88495
980,1686.0542,879.3724
981,1692.3344,877.75574
982,1690.081,882.5132
983,1686.3625,880.8714
984,1679.9548,878.1297
985,1683.9971,872.59937
986,1678.2644,871.5561
987,1702.7498,880.7015
988,1686.5342,884.22736
989,1672.0293,871.4867
990,1671.9642,871.20544
991,1673.8505,871.54034
992,1688.7324,871.2569
993,1695.7646,877.22644
994,1677.2849,868.4736
995,1675.7855,872.7875
996,1671.6815,865.6848
997,1677.1505,874.19196
998,1672.1531,871.17664
999,1682.2787,878.45
